,Edmundsons,EdmundsonsCue,EdmundsonsKey,EdmundsonsTitle,CustomEdmundsonsLength
0,0.8895522338159948,0.8895522338159948,0.7999999950535078,0.7999999950535078,0.8895522338159948
1,0.7042253471149078,0.7042253471149078,0.9632106973456673,0.9632106973456673,0.8653846104094757
2,0.8429752016528926,0.8360655688040849,0.8429752016528926,0.8360655688040849,0.9770992316415129
3,0.7951807179031791,0.7499999950382813,0.8165680423416548,0.7499999950382813,0.9230769180812998
4,0.8199999950125002,0.8199999950125002,0.8199999950125002,0.5189189139225713,0.6699029076515224
5,0.8316831633212431,0.8316831633212431,0.9042904240473157,0.9042904240473157,0.999999995
6,0.8797814157723433,0.7747252697307089,0.7747252697307089,0.7747252697307089,0.7956989197456353
7,0.6942148710333993,0.6942148710333993,0.8987854201052305,0.7383177520831515,0.8740157430466863
8,0.9281767905985776,0.8184437990914302,0.8184437990914302,0.8184437990914302,0.9395604345755344
9,0.6689895421044325,0.544117642214533,0.8266666616888889,0.8681671975765347,0.8292682876859013
