,T5TransformersSummariser,XlmSummariser,Gpt2Summariser,BartTransformersSummariser,average
0,0.37755101681591013,0.614864859865778,0.9292929242934395,0.5523809482993198,0.6867924479174083
1,0.25414364309148074,0.6051660466758352,0.8571428521451531,0.1968911878708154,0.6231884008036652
2,0.6203703658093279,0.5702811195754908,0.7968127440707291,0.4166666627170139,0.5964912233302555
3,0.16822429602585381,0.3809523759587586,0.7573964447085186,0.3906249956457519,0.34615384122041426
4,0.31205673319249544,0.45685278688448555,0.633663361354279,0.539877295750687,0.42391303848357753
5,0.4522613025327643,0.7272727222839008,0.9507042203531046,0.44221105127648297,0.6486486437113342
6,0.30452674461210183,0.5722713814342026,0.7433628268619314,0.15596329907204787,0.4281150109891905
7,0.4303797431821824,0.720338978052284,0.823529406765059,0.4666666622222223,0.5130890005646777
8,0.461538457667124,0.6178343899117611,0.8910256360357085,0.4907407370374658,0.7163120518593129
9,0.3445378107488878,0.6092715182007369,0.7402597352700709,0.4403669686150156,0.5156794375830714
